15.64	15.16				
15.92	15.7525				
15.7525	16.1475				
15.3575	16.74				
14.9625	16.9375				
14.1725	17.05				
13.7775	16.9375				
13.185	16.5425				
12.8	15.7525				
12.82	15.3575				
13.15	14.9625				
13.1	14.5				
12.85	13.7775				
12.9	13.3825				
13.3825	12.79				
14.1725	12.395				
14.9625	12.5925				
15.555	12.9875				
15.95	13.55				
15.88	14.1725				
15.55	14.5675	
15.64	15.16				
15.92	15.7525				
15.7525	16.1475				
15.3575	16.74				
14.9625	16.9375				
14.1725	17.05				
13.7775	16.9375				
13.185	16.5425				
12.8	15.7525				
12.82	15.3575				
13.15	14.9625				
13.1	14.5				
12.85	13.7775				
12.9	13.3825				
13.3825	12.79				
14.1725	12.395				
14.9625	12.5925				
15.555	12.9875				
15.95	13.55				
15.88	14.1725				
15.55	14.5675				
